Comment,Description,Designator,Footprint,LibRef,Quantity

"BD4275","","BD4275","TO-263","BD4275","1"
"100UF/50V","100UF      50V","C1","RB.1/.25","C470UF035S","1"
"104","104     50V        10%   C0805","C2, C3, C5, C6, C7, C8, C9, C12, C13, C14","C0805","C104_0805, C102_0805","10"
"470UF/16V","100UF      50V      CD10X10D5","C4","RB.1/.25","C470UF016S","1"
"22P","22P     50V        10%   C0805","C10, C11","C0805","C22P_0805","2"
"47P-100V","47P    100V        10%   C0805","C15, C16","C0805","C47P_100V_0805","2"
"M7","M7","D1","M7-A","TVS","1"
"SPI4","等齬渀ㄛHeader, 4-Pin","J1","HDR1X4","Header 4","1"
"SDK-052D","SDK-052D","K1, K2","SDK-052D","Relay-SPST","2"
"R","LED_R","LED1, LED2, LED3","1206-2","LED_R","3"
"8R2-2W","8R2                                2W","R1","2WR","R8R22W","1"
"4K7","4K7     1/8W    5%   R0805","R2","0805","R4K7_0805_5%","1"
"510次","510次    5%   R0805","R3","0805_2","R4K7_0805_5%","1"
"1M","1M    1/8W    5%   R0805","R4","0805","R1M_0805_5%","1"
"10K","10K     1/8W    5%   R0805","R5","0805","R10K_0805_5%","1"
"62R-J","62R    1/4W     1%   R1206","R6, R7","1206","R62R_1206_1%","2"
"1K次","1K次    5%   R0805","R8, R9","0805_2","R4K7_0805_5%","2"
"TJA1040","CAN雄郋え","U1","SO-8","TJA1042","1"
"XHY64","","XHY64","QUAD100","XHY64","1"
"4M","儒极ㄛ4M","Y1","16M","XTAL","1"
